order_id,customer_id,product_id,order_date,delivery_date,city,category,payment_method,quantity,order_amount
900001,258,28,2025-01-24,2025-01-27,Delhi NCR,Home & Kitchen,Prepaid,1,3170.0
900002,407,43,2025-03-24,2025-03-28,Mumbai,Accessories,Prepaid,1,910.0
900003,595,14,2024-11-03,2024-11-05,Delhi NCR,Footwear,Prepaid,1,2370.0
900004,512,14,2024-09-30,2024-10-03,Kochi,Footwear,COD,3,7110.0
900005,304,34,2024-07-06,2024-07-09,Pune,Beauty & Personal Care,Prepaid,1,410.0
900006,206,27,2024-08-29,2024-09-03,Chennai,Home & Kitchen,Prepaid,1,1080.0
900007,371,33,2025-01-10,2025-01-13,Bangalore,Beauty & Personal Care,Prepaid,1,740.0
900008,562,44,2024-05-04,2024-05-07,Kochi,Accessories,COD,1,1130.0
900009,372,48,2024-07-30,2024-08-03,Bangalore,Accessories,Prepaid,1,1560.0
900010,36,35,2024-08-28,2024-09-03,Pune,Beauty & Personal Care,COD,1,590.0
900011,152,43,2024-06-08,2024-06-10,Hyderabad,Accessories,Prepaid,1,910.0
900012,206,17,2025-02-21,2025-02-26,Chennai,Electronics,Prepaid,1,13790.0
900013,296,46,2024-08-05,2024-08-10,Bangalore,Accessories,Prepaid,2,2640.0
900014,3,26,2024-05-26,2024-05-30,Bangalore,Home & Kitchen,Prepaid,1,2250.0
900015,79,31,2024-04-24,2024-04-27,Pune,Home & Kitchen,Prepaid,1,1740.0
900016,269,48,2024-10-30,2024-11-05,Pune,Accessories,COD,2,3120.0
900017,107,28,2024-11-15,2024-11-20,Chennai,Home & Kitchen,Prepaid,1,3170.0
900018,276,6,2025-02-02,2025-02-05,Bangalore,Fashion & Apparel,COD,3,4530.0
900019,328,17,2024-12-11,2024-12-16,Delhi NCR,Electronics,COD,1,13790.0
900020,484,35,2024-06-17,2024-06-19,Mumbai,Beauty & Personal Care,Prepaid,1,590.0
900021,447,4,2024-12-07,2024-12-09,Bangalore,Fashion & Apparel,Prepaid,1,970.0
900022,167,43,2024-12-17,2024-12-21,Chennai,Accessories,COD,1,910.0
900023,575,11,2025-01-19,2025-01-25,Mumbai,Footwear,Prepaid,1,2560.0
900024,347,34,2024-11-15,2024-11-20,Bangalore,Beauty & Personal Care,COD,1,410.0
900025,305,45,2024-10-12,2024-10-14,Bangalore,Accessories,COD,1,1290.0
900026,58,15,2024-08-01,2024-08-03,Chennai,Footwear,Prepaid,1,3740.0
900027,5,11,2024-11-02,2024-11-05,Mumbai,Footwear,COD,1,2560.0
900028,336,1,2024-10-04,2024-10-06,Chennai,Fashion & Apparel,Prepaid,1,1110.0
900029,150,34,2024-06-07,2024-06-09,Kochi,Beauty & Personal Care,COD,1,410.0
900030,493,42,2024-07-08,2024-07-13,Mumbai,Accessories,COD,2,1620.0
900031,476,41,2025-02-06,2025-02-09,Mumbai,Accessories,Prepaid,1,1390.0
900032,228,4,2024-11-26,2024-11-29,Pune,Fashion & Apparel,Prepaid,1,970.0
900033,254,48,2024-11-01,2024-11-05,Bangalore,Accessories,Prepaid,1,1560.0
900034,451,26,2024-08-05,2024-08-11,Bangalore,Home & Kitchen,Prepaid,1,2250.0
900035,445,32,2024-09-13,2024-09-15,Chennai,Home & Kitchen,Prepaid,3,5970.0
900036,540,7,2024-10-04,2024-10-09,Delhi NCR,Fashion & Apparel,COD,1,2150.0
900037,508,14,2024-10-17,2024-10-19,Mumbai,Footwear,COD,1,2370.0
900038,567,7,2024-07-26,2024-07-31,Mumbai,Fashion & Apparel,COD,2,4300.0
900039,265,36,2024-07-14,2024-07-17,Chennai,Beauty & Personal Care,Prepaid,1,1130.0
900040,495,47,2024-11-10,2024-11-15,Kochi,Accessories,Prepaid,1,890.0
900041,481,3,2024-04-08,2024-04-11,Pune,Fashion & Apparel,Prepaid,3,5310.0
900042,331,27,2025-02-20,2025-02-25,Bangalore,Home & Kitchen,COD,1,1080.0
900043,165,1,2024-04-28,2024-05-01,Chennai,Fashion & Apparel,Prepaid,1,1110.0
900044,552,15,2024-06-16,2024-06-19,Chennai,Footwear,COD,1,3740.0
900045,214,4,2024-12-26,2024-12-31,Bangalore,Fashion & Apparel,COD,1,970.0
900046,398,4,2024-06-21,2024-06-23,Pune,Fashion & Apparel,Prepaid,1,970.0
900047,246,35,2024-09-11,2024-09-17,Pune,Beauty & Personal Care,COD,1,590.0
900048,272,24,2024-10-26,2024-10-28,Delhi NCR,Electronics,COD,1,11450.0
900049,591,1,2024-12-19,2024-12-23,Hyderabad,Fashion & Apparel,Prepaid,1,1110.0
900050,357,15,2024-12-23,2024-12-25,Mumbai,Footwear,Prepaid,1,3740.0
900051,403,33,2024-12-22,2024-12-28,Mumbai,Beauty & Personal Care,COD,1,740.0
900052,542,16,2024-10-05,2024-10-08,Delhi NCR,Footwear,Prepaid,1,3900.0
900053,296,13,2024-07-14,2024-07-17,Bangalore,Footwear,Prepaid,1,3000.0
900054,268,9,2024-07-19,2024-07-25,Delhi NCR,Footwear,Prepaid,1,3370.0
900055,148,2,2024-07-04,2024-07-06,Hyderabad,Fashion & Apparel,COD,1,1190.0
900056,446,2,2024-04-10,2024-04-15,Pune,Fashion & Apparel,COD,1,1190.0
900057,572,46,2024-10-23,2024-10-29,Hyderabad,Accessories,Prepaid,1,1320.0
900058,380,12,2024-08-22,2024-08-25,Chennai,Footwear,Prepaid,1,2600.0
900059,507,39,2025-03-16,2025-03-20,Bangalore,Beauty & Personal Care,Prepaid,1,780.0
900060,550,5,2024-05-28,2024-06-01,Mumbai,Fashion & Apparel,Prepaid,1,1960.0
900061,548,13,2024-08-28,2024-09-01,Delhi NCR,Footwear,Prepaid,1,3000.0
900062,539,13,2024-08-09,2024-08-13,Mumbai,Footwear,Prepaid,2,6000.0
900063,158,30,2024-06-17,2024-06-20,Mumbai,Home & Kitchen,Prepaid,1,2550.0
900064,417,32,2024-11-02,2024-11-07,Mumbai,Home & Kitchen,Prepaid,1,1990.0
900065,368,3,2025-02-10,2025-02-13,Kochi,Fashion & Apparel,Prepaid,1,1770.0
900066,59,39,2024-05-23,2024-05-28,Delhi NCR,Beauty & Personal Care,Prepaid,2,1560.0
900067,308,33,2024-07-31,2024-08-02,Kochi,Beauty & Personal Care,Prepaid,2,1480.0
900068,279,46,2025-01-05,2025-01-08,Delhi NCR,Accessories,Prepaid,1,1320.0
900069,595,33,2024-12-23,2024-12-28,Delhi NCR,Beauty & Personal Care,Prepaid,1,740.0
900070,237,40,2024-04-15,2024-04-18,Hyderabad,Beauty & Personal Care,COD,1,540.0
900071,512,12,2025-02-23,2025-02-25,Kochi,Footwear,COD,1,2600.0
900072,27,30,2025-02-15,2025-02-21,Bangalore,Home & Kitchen,Prepaid,2,5100.0
900073,284,33,2025-03-24,2025-03-27,Bangalore,Beauty & Personal Care,COD,1,740.0
900074,547,43,2024-06-23,2024-06-29,Bangalore,Accessories,COD,1,910.0
900075,479,44,2024-07-09,2024-07-11,Chennai,Accessories,Prepaid,3,3390.0
900076,88,6,2025-01-02,2025-01-07,Chennai,Fashion & Apparel,COD,1,1510.0
900077,24,16,2025-03-14,2025-03-20,Mumbai,Footwear,Prepaid,1,3900.0
900078,526,34,2024-04-12,2024-04-14,Bangalore,Beauty & Personal Care,COD,1,410.0
900079,519,13,2024-10-04,2024-10-10,Delhi NCR,Footwear,Prepaid,1,3000.0
900080,475,21,2024-12-22,2024-12-28,Bangalore,Electronics,COD,1,9950.0
900081,461,31,2025-03-03,2025-03-06,Chennai,Home & Kitchen,COD,1,1740.0
900082,320,17,2024-07-12,2024-07-17,Bangalore,Electronics,Prepaid,1,13790.0
900083,100,42,2024-11-29,2024-12-01,Delhi NCR,Accessories,Prepaid,1,810.0
900084,119,7,2024-10-31,2024-11-03,Delhi NCR,Fashion & Apparel,COD,1,2150.0
900085,364,14,2024-05-05,2024-05-10,Hyderabad,Footwear,Prepaid,1,2370.0
900086,429,12,2024-04-10,2024-04-16,Bangalore,Footwear,COD,1,2600.0
900087,226,42,2025-01-31,2025-02-05,Bangalore,Accessories,Prepaid,1,810.0
900088,564,9,2024-09-23,2024-09-25,Mumbai,Footwear,Prepaid,1,3370.0
900089,596,14,2024-12-06,2024-12-12,Mumbai,Footwear,Prepaid,1,2370.0
900090,95,41,2025-01-29,2025-02-01,Mumbai,Accessories,Prepaid,1,1390.0
900091,456,4,2024-04-20,2024-04-24,Bangalore,Fashion & Apparel,COD,1,970.0
900092,294,26,2024-11-24,2024-11-30,Hyderabad,Home & Kitchen,Prepaid,1,2250.0
900093,87,40,2025-01-12,2025-01-14,Pune,Beauty & Personal Care,Prepaid,1,540.0
900094,255,34,2025-02-25,2025-03-03,Kochi,Beauty & Personal Care,Prepaid,2,820.0
900095,4,11,2024-09-28,2024-10-02,Chennai,Footwear,Prepaid,1,2560.0
900096,155,17,2024-05-19,2024-05-24,Chennai,Electronics,COD,1,13790.0
900097,355,14,2024-11-09,2024-11-14,Delhi NCR,Footwear,Prepaid,2,4740.0
900098,144,28,2024-04-25,2024-04-30,Kochi,Home & Kitchen,COD,2,6340.0
