return_id,order_id,return_date,return_reason,return_status,refund_amount,reverse_shipping_cost,restocking_loss
700001,900008,2024-05-19,Wrong Item Delivered,Approved,1130.0,81.79,175.15
700002,900010,2024-09-04,Changed Mind,Approved,590.0,111.34,85.55
700003,900011,2024-06-16,Changed Mind,Approved,910.0,111.45,141.05
700004,900017,2024-11-29,Not as Described,Approved,3170.0,177.27,570.6
700005,900024,2024-12-01,Changed Mind,Approved,410.0,78.65,59.45
700006,900026,2024-08-12,Changed Mind,Approved,3740.0,64.9,635.8
700007,900032,2024-12-04,Not as Described,Approved,970.0,133.49,157.62
700008,900036,2024-10-17,Not as Described,Approved,2150.0,143.1,349.38
700009,900041,2024-04-23,Size/Fit Issue,Approved,5310.0,102.81,287.62
700010,900045,2025-01-01,Size/Fit Issue,Approved,970.0,114.4,157.62
700011,900051,2025-01-09,Defective/Damaged,Approved,740.0,169.55,107.3
700012,900052,2024-10-20,Size/Fit Issue,Approved,3900.0,133.64,663.0
700013,900055,2024-07-13,Not as Described,Approved,1190.0,92.13,193.38
700014,900056,2024-04-17,Changed Mind,Approved,1190.0,171.55,193.38
700015,900060,2024-06-08,Changed Mind,Approved,1960.0,156.08,318.5
700016,900069,2025-01-01,Defective/Damaged,Approved,740.0,128.46,107.3
700017,900077,2025-04-02,Not as Described,Approved,3900.0,105.95,663.0
700018,900083,2024-12-14,Not as Described,Approved,810.0,67.46,125.55
700019,900089,2024-12-18,Size/Fit Issue,Approved,2370.0,94.14,402.9
700020,900092,2024-12-07,Changed Mind,Approved,2250.0,129.81,405.0
700021,900106,2025-02-16,Changed Mind,Approved,910.0,152.61,141.05
700022,900107,2024-12-07,Defective/Damaged,Approved,2250.0,139.92,405.0
700023,900117,2024-07-29,Defective/Damaged,Approved,3480.0,62.38,313.2
700024,900130,2024-10-20,Changed Mind,Approved,3020.0,176.98,245.38
700025,900131,2024-10-23,Changed Mind,Rejected,0.0,114.01,0.0
700026,900143,2025-04-03,Wrong Item Delivered,Approved,1990.0,69.78,358.2
700027,900154,2024-06-26,Defective/Damaged,Approved,510.0,105.82,73.95
700028,900155,2024-06-09,Not as Described,Approved,1110.0,127.5,180.38
700029,900162,2024-07-07,Wrong Item Delivered,Rejected,0.0,83.31,0.0
700030,900168,2025-03-13,Changed Mind,Approved,1130.0,166.65,175.15
700031,900170,2024-07-16,Defective/Damaged,Approved,1990.0,153.41,358.2
700032,900176,2025-03-21,Wrong Item Delivered,Rejected,0.0,77.94,0.0
700033,900178,2024-11-23,Changed Mind,Approved,9000.0,124.09,510.0
700034,900188,2024-10-01,Defective/Damaged,Approved,4680.0,178.61,241.8
700035,900189,2025-01-04,Not as Described,Approved,1390.0,170.26,215.45
700036,900196,2025-04-03,Not as Described,Approved,25560.0,78.61,2747.7
700037,900197,2024-05-26,Size/Fit Issue,Approved,2150.0,93.67,349.38
700038,900198,2024-05-21,Not as Described,Approved,3000.0,178.09,510.0
700039,900203,2024-06-27,Not as Described,Approved,3740.0,65.64,303.88
700040,900206,2024-05-22,Size/Fit Issue,Approved,3700.0,80.75,629.0
700041,900212,2025-01-06,Wrong Item Delivered,Approved,2550.0,115.94,459.0
700042,900214,2025-02-04,Changed Mind,Approved,9450.0,131.53,567.0
700043,900219,2024-12-02,Size/Fit Issue,Approved,1870.0,136.75,303.88
700044,900221,2024-12-29,Size/Fit Issue,Approved,1770.0,93.29,287.62
700045,900224,2024-05-27,Not as Described,Approved,6000.0,92.13,510.0
700046,900225,2025-02-15,Not as Described,Approved,2150.0,67.17,349.38
700047,900226,2024-10-27,Size/Fit Issue,Approved,11220.0,152.08,635.8
700048,900238,2024-05-12,Size/Fit Issue,Approved,7400.0,119.84,629.0
700049,900240,2025-02-19,Not as Described,Approved,6740.0,162.79,572.9
700050,900242,2024-11-26,Changed Mind,Approved,3020.0,86.09,245.38
700051,900244,2024-09-08,Better Price Found,Approved,26280.0,129.41,2825.1
700052,900259,2025-02-03,Defective/Damaged,Approved,5100.0,67.77,459.0
700053,900262,2024-08-21,Not as Described,Approved,910.0,112.65,141.05
700054,900268,2025-03-12,Size/Fit Issue,Approved,2600.0,137.81,442.0
700055,900269,2024-08-27,Defective/Damaged,Approved,540.0,94.54,78.3
700056,900282,2024-06-04,Defective/Damaged,Approved,780.0,143.91,113.1
700057,900283,2024-11-05,Size/Fit Issue,Approved,2150.0,82.05,349.38
700058,900284,2025-01-24,Not as Described,Approved,3740.0,94.25,635.8
700059,900287,2024-06-24,Changed Mind,Approved,13140.0,158.48,2825.1
700060,900288,2024-11-26,Not as Described,Approved,2250.0,170.1,405.0
700061,900290,2025-01-30,Changed Mind,Approved,410.0,85.62,59.45
700062,900293,2024-10-29,Changed Mind,Approved,3480.0,60.32,313.2
700063,900303,2024-04-18,Size/Fit Issue,Approved,1110.0,143.28,180.38
700064,900306,2024-09-04,Defective/Damaged,Approved,1960.0,81.71,318.5
700065,900307,2024-07-15,Changed Mind,Approved,2370.0,126.22,402.9
700066,900311,2024-11-08,Defective/Damaged,Approved,3700.0,155.28,629.0
700067,900323,2024-10-12,Size/Fit Issue,Approved,2600.0,89.46,442.0
700068,900335,2024-06-16,Not as Described,Approved,970.0,151.2,157.62
700069,900346,2024-09-15,Defective/Damaged,Approved,3150.0,123.94,567.0
700070,900349,2024-07-24,Wrong Item Delivered,Approved,4500.0,125.03,405.0
700071,900358,2025-01-15,Changed Mind,Approved,2370.0,122.31,402.9
700072,900362,2024-08-07,Changed Mind,Approved,1130.0,160.84,163.85
700073,900363,2024-05-06,Not as Described,Approved,1130.0,156.85,175.15
700074,900380,2024-07-01,Size/Fit Issue,Rejected,0.0,167.17,0.0
700075,900381,2024-04-21,Not as Described,Approved,1130.0,92.83,163.85
